# gx (bohr),gy,gz,Re n(g_vec) (1/bohr**3), Im n(g_vec)
3.055907345658104290e+00,-3.055907345658104290e+00,3.055907345658104290e+00,-1.846084439555380002e-05,1.229119339766416302e-17
3.667088814789725149e+00,-2.444725876526483432e+00,2.444725876526483432e+00,-2.175314120862501346e-05,-1.881434313465489255e-18
4.278270283921346007e+00,-1.833544407394862574e+00,1.833544407394862574e+00,-1.423393303440466869e-05,-6.494400069370667599e-18
4.889451753052966865e+00,-1.222362938263241716e+00,1.222362938263241716e+00,-1.937570126842771245e-06,-1.318194109693303628e-17
5.500633222184587723e+00,-6.111814691316208581e-01,6.111814691316208581e-01,1.386797318390223224e-06,-2.221943467654356184e-19
6.111814691316208581e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.884810909114103980e-16,1.643976245481595514e-18
6.722996160447829439e+00,6.111814691316208581e-01,-6.111814691316208581e-01,3.364422083839472396e-08,1.260755286204411165e-17
7.334177629579449409e+00,1.222362938263240828e+00,-1.222362938263240828e+00,1.298573336101861210e-06,7.604921645355792134e-18
7.945359098711071155e+00,1.833544407394862574e+00,-1.833544407394862574e+00,1.403958088038937713e-07,-6.124515979949905946e-18
8.556540567842692013e+00,2.444725876526483432e+00,-2.444725876526483432e+00,2.573933579359120982e-09,-3.405099613403836828e-18
9.167722036974312871e+00,3.055907345658104290e+00,-3.055907345658104290e+00,-2.666710868398589558e-08,-1.104258006287555354e-17
9.778903506105933729e+00,3.667088814789724260e+00,-3.667088814789724260e+00,-1.791797305842433249e-07,-2.378345925953196124e-18
1.039008497523755459e+01,4.278270283921346007e+00,-4.278270283921346007e+00,3.996136838352761257e-08,7.607663248595627100e-18
1.100126644436917545e+01,4.889451753052966865e+00,-4.889451753052966865e+00,-2.603715136434120505e-11,1.090654001511488330e-17
1.161244791350079453e+01,5.500633222184585946e+00,-5.500633222184585946e+00,3.273677656560742710e-08,1.441300315551206446e-18
1.222362938263241539e+01,6.111814691316206805e+00,-6.111814691316206805e+00,1.103379593226752742e-08,-5.195411549537961791e-18
-4.278270283921346007e+00,-1.039008497523755459e+01,1.039008497523755459e+01,8.029458031241029221e-09,-2.781692028468704755e-18
-3.667088814789724260e+00,-9.778903506105933729e+00,9.778903506105933729e+00,5.365745041827631043e-12,-5.876143675329138127e-18
-3.055907345658104290e+00,-9.167722036974312871e+00,9.167722036974312871e+00,-1.149890643062991165e-08,-8.040669540612960804e-18
-2.444725876526483432e+00,-8.556540567842692013e+00,8.556540567842692013e+00,-9.287825325724778143e-08,-3.370918336850020246e-18
-1.833544407394862574e+00,-7.945359098711071155e+00,7.945359098711071155e+00,7.434197277957485547e-08,5.352534636165933291e-18
-1.222362938263240828e+00,-7.334177629579449409e+00,7.334177629579449409e+00,2.496784312413297477e-09,7.845287436313854058e-18
-6.111814691316208581e-01,-6.722996160447829439e+00,6.722996160447829439e+00,2.417070044506895516e-07,5.145299968553626065e-18
0.000000000000000000e+00,-6.111814691316208581e+00,6.111814691316208581e+00,2.700949823566742170e-07,-4.118742441328173141e-18
6.111814691316208581e-01,-5.500633222184587723e+00,5.500633222184587723e+00,-7.189270710920877897e-07,-7.514092912103394899e-18
1.222362938263241716e+00,-4.889451753052966865e+00,4.889451753052966865e+00,-1.345691667704046679e-07,-7.639919616072191824e-18
1.833544407394862574e+00,-4.278270283921346007e+00,4.278270283921346007e+00,-1.164451840408241325e-06,9.823908053833926718e-19
2.444725876526483432e+00,-3.667088814789725149e+00,3.667088814789725149e+00,-8.086895667277516029e-06,8.634056519738111635e-18
3.667088814789725149e+00,-3.667088814789725149e+00,3.667088814789725149e+00,-3.484474998639316743e-06,-7.784022870024359749e-18
4.278270283921346007e+00,-3.055907345658104290e+00,3.055907345658104290e+00,3.123967583580777889e-07,-6.868888005251923313e-18
4.889451753052966865e+00,-2.444725876526483432e+00,2.444725876526483432e+00,5.382725902495664499e-06,-6.957208818903245479e-18
5.500633222184587723e+00,-1.833544407394862574e+00,1.833544407394862574e+00,4.398268333049937778e-06,5.599738863629824638e-18
6.111814691316208581e+00,-1.222362938263241716e+00,1.222362938263241716e+00,7.112120290454192587e-07,7.930286978371048950e-18
6.722996160447829439e+00,-6.111814691316208581e-01,6.111814691316208581e-01,3.364422084396687727e-08,7.746998743412534491e-18
7.334177629579450297e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.242844143273737038e-06,-1.388548666737224486e-18
7.945359098711070267e+00,6.111814691316199699e-01,-6.111814691316199699e-01,6.441672028832539209e-07,-7.883779319940391783e-18
8.556540567842692013e+00,1.222362938263241716e+00,-1.222362938263241716e+00,-3.757284009535991745e-09,-8.422580818920355165e-18
9.167722036974312871e+00,1.833544407394862574e+00,-1.833544407394862574e+00,2.356917722537394501e-07,-6.917428020167734481e-18
9.778903506105933729e+00,2.444725876526483432e+00,-2.444725876526483432e+00,-1.376320290773161852e-07,9.636019008964441379e-18
1.039008497523755281e+01,3.055907345658103402e+00,-3.055907345658103402e+00,-9.804121244691716069e-08,1.163543388734802583e-17
1.100126644436917545e+01,3.667088814789725149e+00,-3.667088814789725149e+00,2.817684820800486356e-10,3.570143594381321979e-18
1.161244791350079630e+01,4.278270283921346007e+00,-4.278270283921346007e+00,-3.335524418312943798e-08,-1.556595459520351974e-18
1.222362938263241539e+01,4.889451753052965088e+00,-4.889451753052965088e+00,4.848981776031367838e-08,-1.180857520597994587e-17
1.283481085176403624e+01,5.500633222184585946e+00,-5.500633222184585946e+00,5.872974913523278202e-09,-8.628119644241900784e-18
-3.055907345658103402e+00,-1.039008497523755281e+01,1.039008497523755281e+01,5.872899913379924573e-09,-5.965562880490195607e-18
-2.444725876526483432e+00,-9.778903506105933729e+00,9.778903506105933729e+00,4.848682605818624684e-08,1.594199926711602288e-18
-1.833544407394862574e+00,-9.167722036974312871e+00,9.167722036974312871e+00,-3.334890010248431385e-08,1.070918205048764597e-17
-1.222362938263241716e+00,-8.556540567842692013e+00,8.556540567842692013e+00,2.166360107855216239e-10,5.514980778718576862e-18
-6.111814691316199699e-01,-7.945359098711070267e+00,7.945359098711070267e+00,-9.811963861136529130e-08,2.683443002910579452e-18
0.000000000000000000e+00,-7.334177629579450297e+00,7.334177629579450297e+00,-1.368048107458068840e-07,-7.192466921393315677e-18
6.111814691316208581e-01,-6.722996160447829439e+00,6.722996160447829439e+00,2.417070044375822991e-07,-1.062435187778498682e-17
1.222362938263241716e+00,-6.111814691316208581e+00,6.111814691316208581e+00,1.701259370428091053e-08,-1.374616704695619313e-18
1.833544407394862574e+00,-5.500633222184587723e+00,5.500633222184587723e+00,6.518177387067174096e-07,5.805313805581104890e-18
2.444725876526483432e+00,-4.889451753052966865e+00,4.889451753052966865e+00,1.179945777909136405e-06,9.561337009005632012e-18
3.055907345658104290e+00,-4.278270283921346007e+00,4.278270283921346007e+00,-1.249741810406937412e-06,4.282665461384146497e-18
4.278270283921345118e+00,-4.278270283921345118e+00,4.278270283921345118e+00,-9.244527735022635353e-07,-2.793725861988566645e-18
4.889451753052965977e+00,-3.667088814789724260e+00,3.667088814789724260e+00,-7.329283081644859525e-07,-4.752569503925265462e-18
5.500633222184586835e+00,-3.055907345658103402e+00,3.055907345658103402e+00,-2.739042508860282322e-09,9.768774897177432009e-18
6.111814691316207693e+00,-2.444725876526482544e+00,2.444725876526482544e+00,-2.320613726061757691e-07,5.536239683657507484e-18
6.722996160447828551e+00,-1.833544407394861686e+00,1.833544407394861686e+00,5.098964718288778448e-07,3.828357682768796063e-18
7.334177629579449409e+00,-1.222362938263240828e+00,1.222362938263240828e+00,1.298573336102887178e-06,-5.559945801410355219e-18
7.945359098711070267e+00,-6.111814691316199699e-01,6.111814691316199699e-01,6.441672028785291711e-07,-9.135978972831384679e-18
8.556540567842690237e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.907159998062490492e-16,-5.164043213899960535e-18
9.167722036974311095e+00,6.111814691316217463e-01,-6.111814691316217463e-01,3.176599022585373408e-07,4.934739738411596198e-18
9.778903506105933729e+00,1.222362938263242604e+00,-1.222362938263242604e+00,8.331906041865708442e-08,1.090401575750028103e-17
1.039008497523755281e+01,1.833544407394863462e+00,-1.833544407394863462e+00,-1.443453780350427402e-07,5.875263728218255628e-18
1.100126644436917367e+01,2.444725876526483432e+00,-2.444725876526483432e+00,3.168040853963052107e-10,-2.577337479360436581e-18
1.161244791350079453e+01,3.055907345658105179e+00,-3.055907345658105179e+00,-6.692011022297600535e-08,-1.047498334591726102e-17
1.222362938263241716e+01,3.667088814789726037e+00,-3.667088814789726037e+00,-2.204285003150504909e-08,-9.300730913926129788e-18
1.283481085176403624e+01,4.278270283921345118e+00,-4.278270283921345118e+00,3.555210111454115071e-08,9.143625812425115831e-19
1.344599232089565533e+01,4.889451753052965977e+00,-4.889451753052965977e+00,-8.635884003658866065e-13,9.644053258336351821e-18
-1.833544407394863462e+00,-1.039008497523755281e+01,1.039008497523755281e+01,1.622195332490406032e-08,9.939570122117470673e-18
